"site","year","plot","totcov","symbol","aerial_cover","block","paddock","drought","grazing_category","grazing_treatment","livestock_util_2019","livestock_util_2020","livestock_util_2021","rel_brome_cov"
"FK",2019,17,61.5,"BRTE",35,"1","3",0,"MLLMM","destock",50,30,30,56.9105691056911
"FK",2019,18,65,"BRAR",35,"1","3",99,"MLLMM","destock",50,30,30,53.8461538461538
"FK",2019,18,65,"BRTE",5,"1","3",99,"MLLMM","destock",50,30,30,7.69230769230769
"FK",2019,19,64.5,"BRAR",45,"2","1",50,"MLLMM","destock",50,30,30,69.7674418604651
"FK",2019,19,64.5,"BRTE",0,"2","1",50,"MLLMM","destock",50,30,30,0
"FK",2019,20,101.75,"BRAR",40,"2","1",0,"MLLMM","destock",50,30,30,39.3120393120393
"FK",2019,20,101.75,"BRTE",0.5,"2","1",0,"MLLMM","destock",50,30,30,0.491400491400491
"FK",2019,21,79.5,"BRAR",65,"2","1",99,"MLLMM","destock",50,30,30,81.7610062893082
"FK",2019,21,79.5,"BRTE",0,"2","1",99,"MLLMM","destock",50,30,30,0
"FK",2019,22,51.5,"BRAR",26,"2","1",75,"MLLMM","destock",50,30,30,50.4854368932039
"FK",2019,22,51.5,"BRTE",3,"2","1",75,"MLLMM","destock",50,30,30,5.8252427184466
"FK",2019,23,72.5,"BRAR",40,"2","1",0,"MLLMM","destock",50,30,30,55.1724137931034
"FK",2019,23,72.5,"BRTE",0,"2","1",0,"MLLMM","destock",50,30,30,0
"FK",2019,24,99,"BRAR",65,"2","1",25,"MLLMM","destock",50,30,30,65.6565656565657
"FK",2019,24,99,"BRTE",0,"2","1",25,"MLLMM","destock",50,30,30,0
"FK",2019,25,71.25,"BRAR",10,"2","2",0,"MMMMM","stable",50,50,50,14.0350877192982
"FK",2019,25,71.25,"BRTE",18,"2","2",0,"MMMMM","stable",50,50,50,25.2631578947368
"FK",2019,26,75.75,"BRAR",55,"2","2",75,"MMMMM","stable",50,50,50,72.6072607260726
"FK",2019,26,75.75,"BRTE",0.25,"2","2",75,"MMMMM","stable",50,50,50,0.33003300330033
"FK",2019,27,52.5,"BRAR",20,"2","2",50,"MMMMM","stable",50,50,50,38.0952380952381
"FK",2019,27,52.5,"BRTE",0,"2","2",50,"MMMMM","stable",50,50,50,0
"FK",2019,28,38.5,"BRAR",20,"2","2",99,"MMMMM","stable",50,50,50,51.9480519480519
"FK",2019,28,38.5,"BRTE",0,"2","2",99,"MMMMM","stable",50,50,50,0
"FK",2019,29,66.75,"BRAR",25,"2","2",0,"MMMMM","stable",50,50,50,37.4531835205993
"FK",2019,29,66.75,"BRTE",0,"2","2",0,"MMMMM","stable",50,50,50,0
"FK",2019,30,44.25,"BRAR",12,"2","2",25,"MMMMM","stable",50,50,50,27.1186440677966
"FK",2019,30,44.25,"BRTE",0,"2","2",25,"MMMMM","stable",50,50,50,0
"FK",2019,31,44.5,"BRAR",15,"2","3",99,"HHMMM","heavy",70,70,50,33.7078651685393
"FK",2019,31,44.5,"BRTE",0,"2","3",99,"HHMMM","heavy",70,70,50,0
"FK",2019,32,55.5,"BRAR",20,"2","3",25,"HHMMM","heavy",70,70,50,36.036036036036
"FK",2019,32,55.5,"BRTE",0,"2","3",25,"HHMMM","heavy",70,70,50,0
"FK",2019,33,68,"BRAR",30,"2","3",75,"HHMMM","heavy",70,70,50,44.1176470588235
"FK",2019,33,68,"BRTE",0,"2","3",75,"HHMMM","heavy",70,70,50,0
"FK",2019,34,29.75,"BRAR",12,"2","3",0,"HHMMM","heavy",70,70,50,40.3361344537815
"FK",2019,34,29.75,"BRTE",0,"2","3",0,"HHMMM","heavy",70,70,50,0
"FK",2019,35,70.25,"BRAR",45,"2","3",50,"HHMMM","heavy",70,70,50,64.0569395017794
"FK",2019,35,70.25,"BRTE",0,"2","3",50,"HHMMM","heavy",70,70,50,0
"FK",2019,36,66.75,"BRAR",30,"2","3",0,"HHMMM","heavy",70,70,50,44.9438202247191
"FK",2019,36,66.75,"BRTE",0,"2","3",0,"HHMMM","heavy",70,70,50,0
"FK",2019,37,82.5,"BRAR",55,"3","1",75,"MLLMM","destock",50,30,30,66.6666666666667
"FK",2019,37,82.5,"BRTE",2,"3","1",75,"MLLMM","destock",50,30,30,2.42424242424242
"FK",2019,38,67.75,"BRAR",35,"3","1",25,"MLLMM","destock",50,30,30,51.6605166051661
"FK",2019,38,67.75,"BRTE",0,"3","1",25,"MLLMM","destock",50,30,30,0
"FK",2019,39,70.75,"BRAR",30,"3","1",0,"MLLMM","destock",50,30,30,42.4028268551237
"FK",2019,39,70.75,"BRTE",0,"3","1",0,"MLLMM","destock",50,30,30,0
"FK",2019,40,67.5,"BRAR",35,"3","1",99,"MLLMM","destock",50,30,30,51.8518518518518
"FK",2019,40,67.5,"BRTE",2,"3","1",99,"MLLMM","destock",50,30,30,2.96296296296296
"FK",2019,41,65,"BRAR",25,"3","1",0,"MLLMM","destock",50,30,30,38.4615384615385
"FK",2019,41,65,"BRTE",0,"3","1",0,"MLLMM","destock",50,30,30,0
"FK",2019,42,65,"BRAR",40,"3","1",50,"MLLMM","destock",50,30,30,61.5384615384615
"FK",2019,42,65,"BRTE",0,"3","1",50,"MLLMM","destock",50,30,30,0
"FK",2019,43,56.5,"BRAR",30,"3","2",0,"MMMMM","stable",50,50,50,53.0973451327434
"FK",2019,43,56.5,"BRTE",0.5,"3","2",0,"MMMMM","stable",50,50,50,0.884955752212389
"FK",2019,44,71,"BRAR",45,"3","2",25,"MMMMM","stable",50,50,50,63.3802816901408
"FK",2019,44,71,"BRTE",0,"3","2",25,"MMMMM","stable",50,50,50,0
"FK",2019,45,89.25,"BRAR",27,"3","2",50,"MMMMM","stable",50,50,50,30.2521008403361
"FK",2019,45,89.25,"BRTE",36,"3","2",50,"MMMMM","stable",50,50,50,40.3361344537815
"FK",2019,46,79.25,"BRAR",65,"3","2",75,"MMMMM","stable",50,50,50,82.018927444795
"FK",2019,46,79.25,"BRTE",0,"3","2",75,"MMMMM","stable",50,50,50,0
"FK",2019,47,60.25,"BRAR",50,"3","2",99,"MMMMM","stable",50,50,50,82.9875518672199
"FK",2019,47,60.25,"BRTE",0,"3","2",99,"MMMMM","stable",50,50,50,0
"FK",2019,48,79.5,"BRAR",55,"3","2",0,"MMMMM","stable",50,50,50,69.1823899371069
"FK",2019,48,79.5,"BRTE",0,"3","2",0,"MMMMM","stable",50,50,50,0
"FK",2019,49,72.5,"BRAR",35,"3","3",50,"HHMMM","heavy",70,70,50,48.2758620689655
"FK",2019,49,72.5,"BRTE",0,"3","3",50,"HHMMM","heavy",70,70,50,0
"FK",2019,50,58,"BRAR",35,"3","3",25,"HHMMM","heavy",70,70,50,60.3448275862069
"FK",2019,50,58,"BRTE",0,"3","3",25,"HHMMM","heavy",70,70,50,0
"FK",2019,51,79.75,"BRAR",32,"3","3",99,"HHMMM","heavy",70,70,50,40.1253918495298
"FK",2019,51,79.75,"BRTE",0,"3","3",99,"HHMMM","heavy",70,70,50,0
"FK",2019,52,77.75,"BRAR",45,"3","3",0,"HHMMM","heavy",70,70,50,57.8778135048232
"FK",2019,52,77.75,"BRTE",0,"3","3",0,"HHMMM","heavy",70,70,50,0
"FK",2019,53,96,"BRAR",50,"3","3",0,"HHMMM","heavy",70,70,50,52.0833333333333
"FK",2019,53,96,"BRTE",0,"3","3",0,"HHMMM","heavy",70,70,50,0
"FK",2019,54,64,"BRAR",35,"3","3",75,"HHMMM","heavy",70,70,50,54.6875
"FK",2019,54,64,"BRTE",0,"3","3",75,"HHMMM","heavy",70,70,50,0
"FK",2020,1,92,"BRAR",65,"1","1",75,"MMMMM","stable",50,50,50,70.6521739130435
"FK",2020,1,92,"BRTE",0,"1","1",75,"MMMMM","stable",50,50,50,0
"FK",2020,2,75,"BRAR",15,"1","1",99,"MMMMM","stable",50,50,50,20
"FK",2020,2,75,"BRTE",35,"1","1",99,"MMMMM","stable",50,50,50,46.6666666666667
"FK",2020,3,75,"BRAR",55,"1","1",0,"MMMMM","stable",50,50,50,73.3333333333333
"FK",2020,3,75,"BRTE",0,"1","1",0,"MMMMM","stable",50,50,50,0
"FK",2020,4,65.5,"BRAR",30,"1","1",0,"MMMMM","stable",50,50,50,45.8015267175573
"FK",2020,4,65.5,"BRTE",0.5,"1","1",0,"MMMMM","stable",50,50,50,0.763358778625954
"FK",2020,5,74,"BRAR",30,"1","1",50,"MMMMM","stable",50,50,50,40.5405405405405
"FK",2020,5,74,"BRTE",1,"1","1",50,"MMMMM","stable",50,50,50,1.35135135135135
"FK",2020,6,95,"BRAR",40,"1","1",25,"MMMMM","stable",50,50,50,42.1052631578947
"FK",2020,6,95,"BRTE",35,"1","1",25,"MMMMM","stable",50,50,50,36.8421052631579
"FK",2020,7,46,"BRAR",10,"1","2",0,"HHMMM","heavy",70,70,50,21.7391304347826
"FK",2020,7,46,"BRTE",1,"1","2",0,"HHMMM","heavy",70,70,50,2.17391304347826
"FK",2020,8,67,"BRAR",20,"1","2",75,"HHMMM","heavy",70,70,50,29.8507462686567
"FK",2020,8,67,"BRTE",30,"1","2",75,"HHMMM","heavy",70,70,50,44.7761194029851
"FK",2020,9,76.5,"BRAR",24,"1","2",0,"HHMMM","heavy",70,70,50,31.3725490196078
"FK",2020,9,76.5,"BRTE",22,"1","2",0,"HHMMM","heavy",70,70,50,28.7581699346405
"FK",2020,10,52,"BRAR",9,"1","2",99,"HHMMM","heavy",70,70,50,17.3076923076923
"FK",2020,10,52,"BRTE",17,"1","2",99,"HHMMM","heavy",70,70,50,32.6923076923077
"FK",2020,11,69.5,"BRAR",12,"1","2",50,"HHMMM","heavy",70,70,50,17.2661870503597
"FK",2020,11,69.5,"BRTE",17,"1","2",50,"HHMMM","heavy",70,70,50,24.4604316546763
"FK",2020,12,66,"BRAR",2,"1","2",25,"HHMMM","heavy",70,70,50,3.03030303030303
"FK",2020,12,66,"BRTE",35,"1","2",25,"HHMMM","heavy",70,70,50,53.030303030303
"FK",2020,13,39,"BRAR",17,"1","3",50,"MLLMM","destock",50,30,30,43.5897435897436
"FK",2020,13,39,"BRTE",0,"1","3",50,"MLLMM","destock",50,30,30,0
"FK",2020,14,59.5,"BRAR",18,"1","3",75,"MLLMM","destock",50,30,30,30.2521008403361
"FK",2020,14,59.5,"BRTE",0,"1","3",75,"MLLMM","destock",50,30,30,0
"FK",2020,15,32,"BRAR",13,"1","3",0,"MLLMM","destock",50,30,30,40.625
"FK",2020,15,32,"BRTE",0.5,"1","3",0,"MLLMM","destock",50,30,30,1.5625
"FK",2020,16,86.5,"BRAR",28,"1","3",25,"MLLMM","destock",50,30,30,32.3699421965318
"FK",2020,16,86.5,"BRTE",25,"1","3",25,"MLLMM","destock",50,30,30,28.9017341040462
"FK",2020,17,79.5,"BRAR",5,"1","3",0,"MLLMM","destock",50,30,30,6.28930817610063
"FK",2020,17,79.5,"BRTE",50,"1","3",0,"MLLMM","destock",50,30,30,62.8930817610063
"FK",2020,18,55.5,"BRAR",12,"1","3",99,"MLLMM","destock",50,30,30,21.6216216216216
"FK",2020,18,55.5,"BRTE",10,"1","3",99,"MLLMM","destock",50,30,30,18.018018018018
"FK",2020,19,79.5,"BRAR",48,"2","1",50,"MLLMM","destock",50,30,30,60.377358490566
"FK",2020,19,79.5,"BRTE",0.5,"2","1",50,"MLLMM","destock",50,30,30,0.628930817610063
"FK",2020,20,68.5,"BRAR",18,"2","1",0,"MLLMM","destock",50,30,30,26.2773722627737
"FK",2020,20,68.5,"BRTE",20,"2","1",0,"MLLMM","destock",50,30,30,29.1970802919708
"FK",2020,21,58,"BRAR",30,"2","1",99,"MLLMM","destock",50,30,30,51.7241379310345
"FK",2020,21,58,"BRTE",0.5,"2","1",99,"MLLMM","destock",50,30,30,0.862068965517241
"FK",2020,22,90,"BRAR",43,"2","1",75,"MLLMM","destock",50,30,30,47.7777777777778
"FK",2020,22,90,"BRTE",18,"2","1",75,"MLLMM","destock",50,30,30,20
"FK",2020,23,75.5,"BRAR",35,"2","1",0,"MLLMM","destock",50,30,30,46.3576158940397
"FK",2020,23,75.5,"BRTE",0,"2","1",0,"MLLMM","destock",50,30,30,0
"FK",2020,24,99,"BRAR",60,"2","1",25,"MLLMM","destock",50,30,30,60.6060606060606
"FK",2020,24,99,"BRTE",0.5,"2","1",25,"MLLMM","destock",50,30,30,0.505050505050505
"FK",2020,25,76.5,"BRAR",30,"2","2",0,"MMMMM","stable",50,50,50,39.2156862745098
"FK",2020,25,76.5,"BRTE",15,"2","2",0,"MMMMM","stable",50,50,50,19.6078431372549
"FK",2020,26,72,"BRAR",35,"2","2",75,"MMMMM","stable",50,50,50,48.6111111111111
"FK",2020,26,72,"BRTE",0.5,"2","2",75,"MMMMM","stable",50,50,50,0.694444444444444
"FK",2020,27,69,"BRAR",22,"2","2",50,"MMMMM","stable",50,50,50,31.8840579710145
"FK",2020,27,69,"BRTE",0,"2","2",50,"MMMMM","stable",50,50,50,0
"FK",2020,28,69,"BRAR",35,"2","2",99,"MMMMM","stable",50,50,50,50.7246376811594
"FK",2020,28,69,"BRTE",0.5,"2","2",99,"MMMMM","stable",50,50,50,0.72463768115942
"FK",2020,29,83.5,"BRAR",40,"2","2",0,"MMMMM","stable",50,50,50,47.9041916167665
